title,company,location,salary_raw,posted,search_query,link,scraped_at
"Business Analyst, Amazon Customer Service",Amazon,"Hyderabad, Telangana, India",Not disclosed,1 week ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-amazon-customer-service-at-amazon-4405884945?position=1&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=Sc9VKhJ%2BtHmZ53qO09VJIg%3D%3D,2026-05-23 12:02
Business Analyst,enGen Global,"Hyderabad, Telangana, India",Not disclosed,1 week ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-at-engen-global-4415020400?position=2&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=6CzQdO%2FwesxbofXr3WqmJg%3D%3D,2026-05-23 12:02
Business Analyst,APPIT Software Inc,"Hyderabad, Telangana, India",Not disclosed,3 days ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-at-appit-software-inc-4413326167?position=3&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=fB6S%2FZro6OtSmZUGerHJCA%3D%3D,2026-05-23 12:02
Business Analyst,LETITBEX AI,"Hyderabad, Telangana, India",Not disclosed,3 days ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-at-letitbex-ai-4415934045?position=4&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=oxAYBTow714bltDdZYbYHg%3D%3D,2026-05-23 12:02
Business Analyst - Travel Domain,TETRAHED INC,"Hyderabad, Telangana, India",Not disclosed,4 days ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-travel-domain-at-tetrahed-inc-4415603444?position=5&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=WGRf3HXM7xnzSmZygnHdew%3D%3D,2026-05-23 12:02
Business Analyst,Northbridge University English,"Hyderabad, Telangana, India",Not disclosed,2 weeks ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-at-northbridge-university-english-4410060171?position=6&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=fWGno0zuZ7McvK2t2Ljw6g%3D%3D,2026-05-23 12:02
Business Analyst - Integrations,Cendyn,"Hyderabad, Telangana, India",Not disclosed,3 days ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-integrations-at-cendyn-4416487493?position=7&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=ZhJgQdWH3Rt3YnHJ9W4YhQ%3D%3D,2026-05-23 12:02
Business Analyst (EDI),Quadrant IT Services,"Hyderabad, Telangana, India",Not disclosed,2 weeks ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/business-analyst-edi-at-quadrant-it-services-4410983497?position=8&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=8AhuAh92ftS7O4hsONy3og%3D%3D,2026-05-23 12:02
Senior Business Analyst,ValueMomentum,"Hyderabad, Telangana, India",Not disclosed,3 days ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/senior-business-analyst-at-valuemomentum-4415780262?position=9&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=fUmaI1TlQlwHIUt7E6iNpw%3D%3D,2026-05-23 12:02
Senior Business Analyst,Kanerika Inc,"Hyderabad, Telangana, India",Not disclosed,3 weeks ago,business analyst Hyderabad,https://in.linkedin.com/jobs/view/senior-business-analyst-at-kanerika-inc-4400097260?position=10&pageNum=0&refId=FEwtC6jtVAsVIwhzcw63Kw%3D%3D&trackingId=T50P0uQEAky%2FQ1i9YiEuXw%3D%3D,2026-05-23 12:02
